Customer Name,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
Aaron Bergman,416,3,886.156,1,1,1,At Risk / Lost
Aaron Hawkins,13,7,1744.7,4,3,2,Loyal Customers
Aaron Smayling,89,7,3050.692,2,3,3,Needs Attention
Adam Bellavance,55,8,7755.62,3,3,4,Loyal Customers
Adam Hart,35,10,3250.337,3,4,3,Loyal Customers
Adam Shillingsburg,29,9,3255.31,4,4,3,Loyal Customers
Adrian Barton,42,10,14473.570999999998,3,4,4,Loyal Customers
Adrian Hane,61,7,1735.5140000000001,3,3,2,Loyal Customers
Adrian Shami,42,2,58.82,3,1,1,New / Occasional
Aimee Bixby,42,5,966.71,3,1,1,New / Occasional
Alan Barnes,26,8,1113.838,4,3,1,Loyal Customers
Alan Dominguez,30,8,6106.88,4,3,4,Loyal Customers
Alan Haines,56,4,1587.452,3,1,2,New / Occasional
Alan Hwang,7,9,4805.344,4,4,4,Champions
Alan Schoenberger,23,5,4260.784,4,1,4,New / Occasional
Alan Shonely,193,7,584.6080000000001,1,3,1,Needs Attention
Alejandro Ballentine,167,9,914.5319999999999,2,4,1,Needs Attention
Alejandro Grove,279,5,2582.898,1,1,3,Needs Attention
Alejandro Savely,20,6,3214.236,4,2,3,New / Occasional
Aleksandra Gannaway,119,4,367.548,2,1,1,At Risk / Lost
Alex Avila,185,5,5563.56,1,1,4,Needs Attention
Alex Grayson,9,5,660.972,4,2,1,New / Occasional
Alex Russell,112,4,1055.694,2,1,1,At Risk / Lost
Alice McCarthy,29,5,814.012,4,2,1,New / Occasional
Allen Armold,20,9,1056.39,4,4,1,Loyal Customers
Allen Goldenen,115,5,200.945,2,2,1,At Risk / Lost
Allen Rosenblatt,126,5,2236.128,2,2,2,At Risk / Lost
Alyssa Crouse,233,3,925.8,1,1,1,At Risk / Lost
Alyssa Tate,22,6,1171.814,4,2,2,New / Occasional
Amy Cox,12,7,5527.846,4,3,4,Loyal Customers
Amy Hunt,231,5,2495.3916,1,2,3,Needs Attention
Andrew Allen,260,4,1790.5120000000002,1,1,2,At Risk / Lost
Andrew Gjertsen,79,8,2356.855,2,3,3,Needs Attention
Andrew Roberts,15,5,264.86400000000003,4,2,1,New / Occasional
Andy Gerbode,845,4,1455.038,1,1,2,At Risk / Lost
Andy Reiter,7,6,6608.448,4,2,4,New / Occasional
Andy Yotov,15,4,497.014,4,1,1,New / Occasional
Anemone Ratner,535,1,88.15,1,1,1,At Risk / Lost
Angele Hood,22,4,738.504,4,1,1,New / Occasional
Ann Blume,51,4,1515.862,3,1,2,New / Occasional
Ann Chong,7,5,2537.6859999999997,4,2,3,New / Occasional
Ann Steele,93,7,833.398,2,3,1,Needs Attention
Anna Andreadi,56,6,5086.9349999999995,3,2,4,New / Occasional
Anna Chung,283,5,657.316,1,2,1,At Risk / Lost
Anna Gayman,98,7,3489.0396000000005,2,3,3,Needs Attention
Anna Häberlin,411,12,7888.294,1,4,4,Needs Attention
Anne McFarland,163,8,5664.022,2,3,4,Needs Attention
Anne Pryor,42,8,1638.554,3,3,2,Loyal Customers
Annie Thurman,14,10,3831.864,4,4,4,Champions
Annie Zypern,161,6,1622.0179999999998,2,2,2,At Risk / Lost
Anthony Garverick,78,4,170.584,2,1,1,At Risk / Lost
Anthony Jacobs,76,7,4867.344,3,3,4,Loyal Customers
Anthony Johnson,167,7,4501.391,2,3,4,Needs Attention
Anthony O'Donnell,502,1,161.28,1,1,1,At Risk / Lost
Anthony Rawles,59,8,4523.336,3,3,4,Loyal Customers
Anthony Witt,21,4,649.376,4,1,1,New / Occasional
Arianne Irving,14,10,4375.786,4,4,4,Champions
Art Ferguson,42,7,2052.908,3,3,2,Loyal Customers
Art Foster,416,4,861.565,1,1,1,At Risk / Lost
Arthur Gainer,97,10,4510.797,2,4,4,Needs Attention
Arthur Prichep,99,10,3323.556,2,4,3,Needs Attention
Arthur Wiediger,47,7,2852.968,3,3,3,Loyal Customers
Ashley Jarboe,86,7,1839.24,2,3,2,Needs Attention
Astrea Jones,75,3,629.2479999999999,3,1,1,New / Occasional
Barbara Fisher,92,7,599.798,2,3,1,Needs Attention
Barry Blumstein,106,5,744.3399999999999,2,2,1,At Risk / Lost
Barry Franz,40,4,1333.88,3,1,2,New / Occasional
Barry Französisch,75,8,2888.506,3,3,3,Loyal Customers
Barry Gonzalez,29,8,2798.948,4,3,3,Loyal Customers
Barry Pond,84,5,983.42,2,2,1,At Risk / Lost
Barry Weirich,213,3,385.516,1,1,1,At Risk / Lost
Bart Folk,26,3,272.95,4,1,1,New / Occasional
Bart Pistole,18,12,2442.044,4,4,3,Loyal Customers
Bart Watters,122,8,4750.358,2,3,4,Needs Attention
Becky Castell,203,9,2933.676,1,4,3,Needs Attention
Becky Martin,308,4,11789.63,1,1,4,Needs Attention
Becky Pak,90,6,1697.8609999999999,2,2,2,At Risk / Lost
Ben Ferrer,17,11,5907.972,4,4,4,Champions
Ben Peterman,2,9,3675.861,4,4,3,Loyal Customers
Ben Wallace,204,6,1738.406,1,2,2,At Risk / Lost
Benjamin Farhat,66,4,1585.162,3,1,2,New / Occasional
Benjamin Patterson,40,5,1181.49,3,2,2,New / Occasional
Benjamin Venier,335,5,1523.2730000000001,1,2,2,At Risk / Lost
Berenike Kampe,78,6,659.1379999999999,2,2,1,At Risk / Lost
Beth Fritzler,58,3,791.9899999999999,3,1,1,New / Occasional
Beth Paige,13,7,2475.157,4,3,3,Loyal Customers
Beth Thompson,337,5,2567.656,1,2,3,Needs Attention
Bill Donatelli,34,12,5718.521,3,4,4,Loyal Customers
Bill Eplett,120,5,4204.676,2,2,4,Needs Attention
Bill Overfelt,138,5,2682.728,2,2,3,Needs Attention
Bill Shonely,559,5,10501.653,1,2,4,Needs Attention
Bill Stewart,29,5,3887.834,4,2,4,New / Occasional
Bill Tyler,303,6,2186.6130000000003,1,2,2,At Risk / Lost
Bobby Elias,99,5,2261.438,2,2,3,Needs Attention
Bobby Odegard,76,2,130.83,3,1,1,New / Occasional
Bobby Trafton,561,4,603.876,1,1,1,At Risk / Lost
Brad Eason,255,6,1727.652,1,2,2,At Risk / Lost
Brad Norvell,25,4,265.296,4,1,1,New / Occasional
Brad Thomas,660,2,415.19599999999997,1,1,1,At Risk / Lost
Bradley Drucker,36,6,4411.2429999999995,3,2,4,New / Occasional
Bradley Nguyen,10,5,1459.344,4,2,2,New / Occasional
Bradley Talbott,92,5,2684.4919999999997,2,2,3,Needs Attention
Brenda Bowman,29,9,6765.728,4,4,4,Champions
Brendan Dodson,279,2,320.54,1,1,1,At Risk / Lost
Brendan Murry,101,6,808.162,2,2,1,At Risk / Lost
Brendan Sweed,36,6,2454.928,3,2,3,New / Occasional
Brian Dahlen,98,7,3288.471,2,3,3,Needs Attention
